class	representative_genome_id
G020348925	GB_GCA_020348925.1
G020349885	GB_GCA_020349885.1
GBS-1	GB_GCA_001443005.1
GCA-001730085	GB_GCA_001730085.1
GCA-002687715	GB_GCA_002683135.1
GCA-003054495	GB_GCA_021848765.1
GCA-2686955	GB_GCA_002686955.1
GCA-2746535	GB_GCA_002746535.1
GWA2-38-11	GB_GCA_001790645.1
GWC2-55-46	GB_GCA_001595385.3
GWE2-31-10	GB_GCA_001829125.1
Gammaproteobacteria	GB_GCA_000008885.1
Gemmatimonadetes	GB_GCA_001724275.1
Geothermincolia	GB_GCA_001767605.1
Glassbacteria	GB_GCA_001780825.1
Gracilibacteria	GB_GCA_000989565.1
HKB111	GB_GCA_018725125.1
HRBIN11	GB_GCA_001780385.1
HRBIN16	GB_GCA_002898895.1
HRBIN17	GB_GCA_002898575.1
Halanaerobiia	GB_GCA_001512435.1
Hebobacteria	GB_GCA_011773575.1
Hinthialibacteria	GB_GCA_001567115.1
Holophagae	GB_GCA_002068835.1
Humimicrobiia	GB_GCA_002068775.1
Hydrogenedentia	GB_GCA_000493945.1
Hydrothermia	GB_GCA_000980735.1
Ignavibacteria	GB_GCA_001516025.1
J058	GB_GCA_003694875.1
J088	GB_GCA_003695505.1
JAADFL01	GB_GCA_013152945.1
JAANXI01	GB_GCA_018263365.1
JAAXHH01	GB_GCA_009835325.1
JAAXVQ01	GB_GCA_013335425.1
JAAYUB01	GB_GCA_012517875.1
JAAZEB01	GB_GCA_012512265.1
JABDET01	GB_GCA_013286945.1
JABMQX01	GB_GCA_013203085.1
JABWAT01	GB_GCA_013360915.1
JACIYH01	GB_GCA_014360055.1
JACOTG01	GB_GCA_016178505.1
JACOXK01	GB_GCA_001797335.1
JACPDS01	GB_GCA_016183885.1
JACPDT01	GB_GCA_016183865.1
JACPFL01	GB_GCA_016183025.1
JACPQY01	GB_GCA_016180645.1
JACPSX01	GB_GCA_016193065.1
JACPTQ01	GB_GCA_016192705.1
JACPUC01	GB_GCA_016192455.1
JACQVV01	GB_GCA_016209595.1
JACQYL01	GB_GCA_016208165.1
JACRCW01	GB_GCA_016218805.1
JACRDZ01	GB_GCA_016209155.1
